wxid,昵称,备注名,其他信息
wxid_er,二叔,二叔,地区: 广东潮州；签名: 喝茶看报天下事
wxid_liu,大刘,大刘(铁瓷),地区: 广东广州；签名: 健身撸铁日常
wxid_da,大师兄,大师兄(实验室),地区: 北京海淀；签名: 论文论文论文
wxid_ma,老妈,妈妈,地区: 广东广州；签名: 养花养草养孩子
wxid_xiao,小李,小李(新同事),地区: 广东深圳；签名: 实习生努力中
wxid_wang,小王,小王(同事),地区: 广东深圳；签名: 996间歇性emo
wxid_zhang,张老师,张老师(数学),地区: 北京海淀；签名: 数学之美
wxid_ayi,房东阿姨,房东阿姨,地区: 广东广州；签名: 收租是主业养猫是副业
wxid_li,李教授,李教授(物理),地区: 湖北武汉；签名: 物理改变世界
wxid_shan,珊珊,珊珊,地区: 广东广州；签名: 猫狗双全人生赢家
wxid_jiao,教练,私教阿Ken,地区: 广东广州；签名: 不练出腹肌不换头像
wxid_ba,老爸,老爸,地区: 广东广州；签名: 退休生活美滋滋
wxid_fang,芳姐,芳姐(领导),地区: 广东广州；签名: 女强人也是宝妈
wxid_mei,表妹,表妹(大学生),地区: 湖北武汉；签名: 期末周毁灭吧
wxid_biao,表姐,表姐(上海),地区: 上海浦东；签名: 不想上班想开店
wxid_lao,隔壁老王,邻居老王,地区: 广东广州；签名: 象棋钓鱼带孙子
wxid_jie,阿杰,阿杰(死党),地区: 广东广州；签名: 吃饭不积极思想有问题
wxid_tao,阿涛,阿涛(高中同学),地区: 广东广州；签名: 程序员但头发还在
wxid_chen,陈哥,陈哥(前同事),地区: 浙江杭州；签名: 创业中
wxid_jing,静静,静静(室友),地区: 上海；签名: 考研二战中
